,a,b,c
23126,711,157,3
23127,666,122,2
23128,334,484,5
23129,318,809,4
23130,907,476,4
23131,389,1197,3
23132,267,29,3
23133,880,1215,1
23134,380,610,2
23135,815,71,5
23136,804,204,4
23137,276,293,4
23138,495,147,5
23139,885,365,3
23140,919,246,3
23141,601,1084,5
23142,543,161,4
23143,926,315,4
23144,504,318,5
23145,86,1176,5
23146,271,610,3
23147,1,26,3
23148,761,294,3
23149,885,153,2
23150,24,421,5
23151,522,492,4
23152,116,203,5
23153,614,126,4
23154,10,216,4
23155,393,720,3
23156,766,133,3
23157,793,597,3
23158,804,265,4
23159,533,236,4
23160,826,102,4
23161,699,220,2
23162,457,729,4
23163,918,958,3
23164,669,508,3
23165,263,271,1
23166,512,313,3
23167,911,419,5
23168,180,735,4
23169,843,357,2
23170,346,195,5
23171,664,228,4
23172,883,24,4
23173,805,323,5
23174,406,1065,2
23175,189,663,3
23176,523,155,4
23177,500,584,1
23178,484,117,4
23179,87,56,4
23180,380,38,2
23181,417,20,2
23182,825,919,1
23183,94,780,3
23184,659,252,4
23185,59,603,5
23186,727,1224,3
23187,405,571,5
23188,299,72,3
23189,92,704,3
23190,232,117,3
23191,158,285,5
23192,640,12,5
23193,643,208,5
23194,181,932,1
23195,453,975,2
23196,882,243,4
23197,755,323,4
23198,294,333,4
23199,497,87,3
23200,151,716,2
23201,116,655,4
23202,561,526,3
23203,274,629,5
23204,393,108,2
23205,342,89,3
23206,492,462,3
23207,916,280,2
23208,683,127,4
23209,104,222,3
23210,782,321,2
23211,699,1061,3
23212,535,923,4
23213,293,284,2
23214,459,108,1
23215,521,249,4
23216,912,154,4
23217,544,310,2
23218,318,161,3
23219,562,480,4
23220,786,143,4
23221,738,235,2
23222,839,1009,3
23223,94,328,3
23224,350,214,3
23225,557,892,3
23226,541,151,3
23227,924,1,5
23228,66,825,3
23229,13,798,2
23230,472,64,5
23231,843,83,3
23232,91,662,4
23233,654,496,4
23234,458,191,5
23235,675,1101,4
23236,919,286,4
23237,936,16,4
23238,638,172,4
23239,423,751,3
23240,407,234,3
23241,815,217,3
23242,174,723,5
23243,467,327,4
23244,303,53,3
23245,711,88,5
23246,658,100,4
23247,326,510,5
23248,389,67,2
23249,455,286,5
23250,731,1087,1
23251,222,63,3
23252,26,458,3
23253,870,763,4
23254,796,250,5
23255,501,108,4
23256,833,288,2
23257,268,259,3
23258,344,169,5
23259,244,845,3
23260,127,230,5
23261,843,393,2
23262,457,462,5
23263,865,473,3
23264,943,234,3
23265,514,470,3
23266,553,100,5
23267,883,749,3
23268,629,273,2
23269,666,269,5
23270,758,191,5
23271,207,175,1
23272,64,87,4
23273,908,174,3
23274,908,194,3
23275,936,300,3
23276,417,825,4
23277,179,902,1
23278,163,269,3
23279,592,1129,5
23280,255,147,4
23281,930,176,3
23282,790,250,5
23283,633,71,3
23284,559,427,4
23285,174,143,5
23286,488,754,4
23287,566,1437,2
23288,586,80,2
23289,197,22,5
23290,70,300,4
23291,453,188,4
23292,617,669,1
23293,439,121,2
23294,847,108,2
23295,280,670,2
23296,796,228,5
23297,393,1409,4
23298,593,1221,3
23299,568,1137,4
23300,125,340,1
23301,487,333,3
23302,932,430,4
23303,201,188,4
23304,828,271,2
23305,480,485,4
23306,912,14,5
23307,618,183,4
23308,429,468,3
23309,739,1429,5
23310,159,255,3
23311,514,26,3
23312,823,4,5
23313,92,50,5
23314,537,427,4
23315,666,193,4
23316,334,115,5
23317,64,531,3
23318,908,96,4
23319,638,29,2
23320,486,286,2
23321,548,237,4
23322,417,357,5
23323,751,486,3
23324,698,222,4
23325,864,202,5
23326,531,332,4
23327,684,477,5
23328,479,739,1
23329,315,642,5
23330,617,774,1
23331,564,827,3
23332,889,129,5
23333,656,326,1
23334,345,715,4
23335,896,245,4
23336,769,121,4
23337,474,481,4
23338,38,678,5
23339,257,269,3
23340,77,132,3
23341,280,90,4
23342,635,742,3
23343,462,326,4
23344,245,894,1
23345,907,471,5
23346,176,347,4
23347,584,40,4
23348,33,294,3
23349,874,346,3
23350,690,90,1
23351,916,111,4
23352,915,310,3
23353,593,174,4
23354,878,276,3
23355,694,490,4
23356,798,15,4
23357,360,23,5
23358,731,56,2
23359,293,589,4
23360,590,237,3
23361,144,466,2
23362,484,1016,4
23363,11,504,3
23364,760,365,5
23365,606,806,5
23366,802,565,3
23367,200,527,4
23368,788,144,4
23369,493,118,4
23370,20,378,3
23371,518,9,3
23372,705,566,4
23373,43,939,3
23374,6,317,3
23375,712,1040,4
23376,614,286,2
23377,889,847,4
23378,640,391,3
23379,586,204,3
23380,308,61,3
23381,258,326,5
23382,549,472,3
23383,504,633,3
23384,875,692,2
23385,243,736,4
23386,317,313,4
23387,393,281,4
23388,213,504,5
23389,711,393,4
23390,342,212,5
23391,268,1231,2
23392,109,55,2
23393,660,825,2
23394,455,79,4
23395,826,22,5
23396,21,769,1
23397,5,396,5
23398,298,134,5
23399,796,393,4
23400,279,1481,4
23401,450,845,4
23402,397,338,4
23403,452,971,4
23404,436,264,2
23405,774,567,1
23406,599,111,5
23407,648,144,4
23408,846,727,4
23409,83,597,2
23410,429,705,4
23411,892,401,3
23412,405,48,1
23413,757,1016,3
23414,878,740,2
23415,825,472,5
23416,680,815,3
23417,94,183,5
23418,755,690,5
23419,313,684,4
23420,795,240,2
23421,463,870,2
23422,389,527,3
23423,230,951,5
23424,665,222,3
23425,435,193,3
23426,655,1166,3
23427,719,23,3
23428,331,304,5
23429,804,205,4
23430,889,382,2
23431,407,127,3
23432,815,98,4
23433,340,66,5
23434,748,199,4
23435,831,713,5
23436,342,656,5
23437,476,386,2
23438,243,1465,3
23439,577,425,2
23440,551,1136,5
23441,487,2,3
23442,916,530,4
23443,533,654,3
23444,588,751,3
23445,621,263,1
23446,97,204,5
23447,904,694,3
23448,528,258,4
23449,378,735,4
23450,514,301,4
23451,18,604,5
23452,862,357,3
23453,645,641,5
23454,334,258,4
23455,154,172,4
23456,11,749,5
23457,230,499,4
23458,749,1185,4
23459,444,748,1
23460,624,298,4
23461,788,931,2
23462,382,14,3
23463,846,479,4
23464,873,294,4
23465,663,509,4
23466,442,227,3
23467,913,228,5
23468,617,567,2
23469,889,186,5
23470,942,172,5
23471,391,222,2
23472,709,200,4
23473,70,411,3
23474,642,56,4
23475,747,269,4
23476,718,471,5
23477,591,79,4
23478,439,242,5
23479,222,742,5
23480,524,52,4
23481,432,100,3
23482,766,483,3
23483,727,395,3
23484,487,710,4
23485,56,720,3
23486,291,427,4
23487,441,282,4
23488,314,8,4
23489,7,31,4
23490,194,546,3
23491,747,466,3
23492,286,210,5
23493,326,648,5
23494,76,514,4
23495,327,1070,4
23496,846,42,5
23497,793,222,3
23498,560,255,4
23499,704,209,3
23500,537,127,5
23501,765,170,5
23502,486,405,4
23503,659,517,5
23504,343,116,5
23505,756,117,4
23506,493,423,2
23507,419,604,5
23508,827,331,3
23509,276,51,3
23510,207,1225,3
23511,930,411,1
23512,686,514,5
23513,580,1,3
23514,78,25,3
23515,899,180,3
23516,158,187,5
23517,622,780,4
23518,324,327,4
23519,732,324,2
23520,128,506,4
23521,536,487,4
23522,204,301,4
23523,522,134,5
23524,831,144,5
23525,264,746,3
23526,483,510,3
23527,796,1269,5
23528,102,596,2
23529,466,22,5
23530,342,423,4
23531,750,288,4
23532,660,8,2
23533,679,83,5
23534,5,189,5
23535,775,329,3
23536,579,88,4
23537,194,230,1
23538,450,28,4
23539,233,660,5
23540,911,185,5
23541,426,483,5
23542,436,95,4
23543,717,250,1
23544,521,343,3
23545,650,181,4
23546,840,8,5
23547,554,732,4
23548,752,344,4
23549,630,1023,4
23550,159,1049,4
23551,892,684,5
23552,214,92,4
23553,886,1467,5
23554,470,458,4
23555,532,177,4
23556,417,201,4
23557,334,1041,3
23558,82,834,1
23559,889,1074,3
23560,730,246,4
23561,345,12,5
23562,577,229,4
23563,747,625,3
23564,665,833,3
23565,916,558,3
23566,815,435,4
23567,174,553,5
23568,446,306,3
23569,764,281,3
23570,303,143,4
23571,621,384,3
23572,144,524,5
23573,697,336,3
23574,807,139,2
23575,291,1059,4
23576,757,576,3
23577,425,117,3
23578,833,144,4
23579,796,28,3
23580,868,636,3
23581,374,48,5
23582,411,38,4
23583,125,1270,3
23584,450,704,3
23585,666,516,5
23586,307,121,1
23587,625,214,4
23588,74,340,5
23589,881,172,4
23590,92,1037,2
23591,756,1060,4
23592,445,475,5
23593,943,76,4
23594,505,176,4
23595,468,44,4
23596,747,180,5
23597,454,11,1
23598,682,294,3
23599,645,434,4
23600,64,241,3
23601,463,235,2
23602,502,263,1
23603,486,696,3
23604,13,8,4
23605,788,498,5
23606,624,25,4
23607,655,568,3
23608,382,1017,4
23609,255,117,2
23610,181,1394,1
23611,592,531,5
23612,862,202,5
23613,747,555,2
23614,880,283,3
23615,886,824,4
23616,227,748,1
23617,552,628,3
23618,467,93,4
23619,838,60,4
23620,453,82,3
23621,880,348,4
23622,387,61,3
23623,718,742,5
23624,130,407,2
23625,847,262,5
23626,741,783,3
23627,478,447,4
23628,774,197,1
23629,891,1278,5
23630,716,570,3
23631,690,127,4
23632,839,321,1
23633,642,949,1
23634,328,260,2
23635,933,105,2
23636,940,213,4
23637,420,508,3
23638,893,56,5
23639,480,79,4
23640,44,448,2
23641,406,187,2
23642,321,1101,3
23643,687,286,3
23644,416,420,3
23645,747,3,2
23646,286,413,3
23647,823,174,5
23648,113,1251,5
23649,590,591,3
23650,537,321,3
23651,274,873,3
23652,841,754,4
23653,650,928,2
23654,763,1065,5
23655,562,148,5
23656,655,699,2
23657,675,463,5
23658,417,451,4
23659,655,578,2
23660,571,174,4
23661,864,404,4
23662,239,276,5
23663,276,258,5
23664,405,98,4
23665,686,205,5
23666,601,1063,3
23667,543,204,4
23668,174,417,4
23669,593,164,4
23670,271,521,5
23671,474,647,4
23672,409,526,3
23673,901,739,5
23674,497,622,2
23675,423,322,3
23676,577,866,5
23677,524,175,3
23678,637,274,5
23679,727,154,3
23680,379,526,4
23681,363,1157,2
23682,72,118,3
23683,533,215,4
23684,916,193,4
23685,667,1101,3
23686,7,144,5
23687,747,591,2
23688,489,339,3
23689,567,504,4
23690,399,282,3
23691,717,299,4
23692,664,137,3
23693,665,282,4
23694,846,177,3
23695,761,1163,2
23696,498,483,3
23697,650,484,5
23698,445,744,2
23699,682,201,4
23700,484,82,4
23701,11,290,3
23702,671,265,3
23703,712,181,5
23704,622,408,5
23705,548,539,2
23706,343,137,4
23707,655,916,2
23708,493,284,4
23709,334,1312,4
23710,774,77,1
23711,405,550,2
23712,389,481,5
23713,599,274,5
23714,836,286,3
23715,158,294,1
23716,566,163,5
23717,642,755,3
23718,437,501,4
23719,384,751,4
23720,294,294,4
23721,354,533,5
23722,854,742,2
23723,264,789,4
23724,760,1135,4
23725,870,170,5
23726,506,712,3
23727,363,705,2
23728,56,151,4
23729,455,241,4
23730,312,1,5
23731,116,1039,4
23732,882,186,5
23733,425,294,2
23734,464,332,4
23735,7,596,5
23736,194,125,2
23737,887,828,3
23738,655,152,3
23739,417,203,4
23740,777,42,5
23741,482,288,3
23742,825,988,3
23743,806,56,5
23744,749,158,3
23745,198,428,4
23746,548,991,1
23747,532,452,5
23748,327,72,2
23749,184,170,5
23750,94,365,3
23751,682,959,4
23752,829,515,4
23753,720,262,4
23754,606,562,4
23755,883,487,5
23756,417,1232,2
23757,472,101,5
23758,403,50,5
23759,846,700,2
23760,642,1079,5
23761,64,1065,1
23762,611,262,4
23763,723,748,5
23764,354,89,4
23765,407,193,3
23766,790,154,4
23767,551,217,1
23768,912,501,4
23769,506,140,3
23770,658,1,4
23771,531,245,4
23772,623,603,4
23773,328,1112,4
23774,813,901,1
23775,296,194,5
23776,95,210,5
23777,478,238,3
23778,314,1047,4
23779,335,355,3
23780,796,151,5
23781,501,151,4
23782,931,310,3
23783,848,1065,2
23784,648,520,4
23785,548,683,4
23786,309,1296,2
23787,293,187,3
23788,843,959,2
23789,793,1187,2
23790,890,89,4
23791,643,219,5
23792,175,187,4
23793,712,1037,4
23794,145,380,3
23795,533,345,3
23796,2,287,3
23797,608,1262,5
23798,666,310,5
23799,207,202,3
23800,463,124,5
23801,715,176,5
23802,908,223,4
23803,486,823,4
23804,13,445,4
23805,417,796,4
23806,126,286,3
23807,163,272,4
23808,593,70,5
23809,843,498,2
23810,697,325,4
23811,22,181,5
23812,776,441,2
23813,151,275,5
23814,762,270,4
23815,430,222,4
23816,345,1074,3
23817,732,938,1
23818,605,340,4
23819,589,879,4
23820,660,1035,2
23821,802,646,4
23822,683,245,2
23823,153,187,2
23824,870,792,3
23825,796,603,4
23826,634,1028,3
23827,12,202,4
23828,395,210,5
23829,542,393,3
23830,886,24,4
23831,291,5,5
23832,572,1010,2
23833,404,876,2
23834,805,419,4
23835,109,449,5
23836,210,79,4
23837,106,12,4
23838,899,95,5
23839,92,47,4
23840,455,213,4
23841,537,462,3
23842,629,880,4
23843,650,160,3
23844,334,20,4
23845,64,520,5
23846,484,385,4
23847,725,748,4
23848,638,230,5
23849,568,638,3
23850,343,478,5
23851,509,50,5
23852,308,1411,4
23853,276,405,3
23854,774,380,2
23855,647,134,4
23856,721,199,4
23857,398,385,3
23858,913,11,4
23859,746,79,5
23860,425,258,2
23861,269,1148,4
23862,551,69,4
23863,805,137,5
23864,474,792,4
23865,128,132,3
23866,437,134,5
23867,660,1615,2
23868,665,419,4
23869,704,631,3
23870,561,210,3
23871,524,290,2
23872,796,1055,3
23873,758,373,4
23874,863,752,4
23875,125,243,2
23876,897,864,4
23877,851,238,5
23878,894,961,4
23879,42,729,3
23880,753,187,3
23881,618,276,3
23882,487,1425,4
23883,641,203,4
23884,399,239,3
23885,256,151,5
23886,590,150,5
23887,422,260,3
23888,168,931,3
23889,498,150,3
23890,592,95,4
23891,429,1048,2
23892,624,534,3
23893,447,211,4
23894,839,281,3
23895,548,654,5
23896,532,11,5
23897,290,650,2
23898,923,628,4
23899,57,109,4
23900,864,619,3
23901,774,563,1
23902,894,290,2
23903,617,357,4
23904,890,214,4
23905,880,1059,4
23906,693,56,4
23907,566,318,4
23908,345,170,5
23909,398,476,3
23910,716,367,4
23911,437,378,4
23912,881,117,5
23913,497,39,3
23914,868,50,5
23915,543,1262,2
23916,458,474,4
23917,483,20,2
23918,764,99,4
23919,213,483,5
23920,711,420,5
23921,109,82,5
23922,707,318,5
23923,757,742,4
23924,773,1,3
23925,425,147,3
23926,118,288,5
23927,553,609,4
23928,279,1444,3
23929,194,496,4
23930,503,382,4
23931,846,381,4
23932,344,285,5
23933,217,17,3
23934,270,5,5
23935,143,313,5
23936,937,137,3
23937,293,492,5
23938,611,353,3
23939,521,73,3
23940,406,709,5
23941,918,86,4
23942,62,171,4
23943,682,135,4
23944,339,546,4
23945,85,10,4
23946,92,826,2
23947,18,949,3
23948,483,101,2
23949,518,289,4
23950,313,663,5
23951,387,248,4
23952,562,566,4
23953,834,307,4
23954,255,546,3
23955,359,748,3
23956,269,196,1
23957,472,496,4
23958,435,228,4
23959,933,173,3
23960,933,67,1
23961,38,259,3
23962,844,125,3
23963,405,1540,2
23964,796,387,3
23965,717,289,4
23966,807,843,2
23967,504,961,4
23968,460,242,4
23969,197,354,2
23970,490,764,1
23971,448,305,4
23972,439,293,3
23973,548,1011,2
23974,815,7,4
23975,425,879,2
23976,923,248,4
23977,833,467,2
23978,374,282,5
23979,321,654,4
23980,729,313,3
23981,487,25,1
23982,457,94,3
23983,420,86,5
23984,459,568,3
23985,23,155,3
23986,406,1,4
23987,279,269,4
23988,682,77,3
23989,339,94,2
23990,800,476,3
23991,620,181,4
23992,567,606,4
23993,92,382,4
23994,18,633,5
23995,537,543,5
23996,809,258,3
23997,661,1035,3
23998,541,843,4
23999,398,163,3
24000,177,216,4
24001,13,306,3
24002,343,559,3
24003,624,271,3
24004,840,221,4
24005,435,672,1
24006,864,382,3
24007,59,220,2
24008,442,204,3
24009,621,109,4
24010,193,1090,2
24011,45,993,4
24012,796,549,3
24013,437,583,1
24014,504,125,4
24015,488,514,2
24016,361,276,4
24017,414,302,5
24018,896,569,2
24019,144,318,5
24020,474,605,3
24021,384,333,4
24022,497,724,5
24023,538,98,5
24024,606,451,3
24025,653,371,1
24026,432,121,4
24027,782,1385,4
24028,892,625,3
24029,328,58,4
24030,201,268,4
24031,551,1044,3
24032,498,631,3
24033,314,117,4
24034,277,111,4
24035,879,151,3
24036,851,326,3
24037,798,451,2
24038,339,410,2
24039,323,993,4
24040,881,831,2
24041,399,444,1
24042,145,821,3
24043,489,682,4
24044,537,91,2
24045,385,198,3
24046,846,142,3
24047,863,305,4
24048,244,357,5
24049,779,50,5
24050,48,56,3
24051,871,904,3
24052,394,28,4
24053,267,230,4
24054,484,550,4
24055,655,1549,2
24056,343,83,4
24057,200,195,5
24058,707,705,4
24059,57,318,5
24060,864,186,4
24061,737,428,4
24062,276,24,4
24063,495,404,4
24064,733,1114,3
24065,940,7,4
24066,711,161,4
24067,82,283,2
24068,559,863,5
24069,882,692,4
24070,897,483,3
24071,158,92,4
24072,587,890,1
24073,234,494,4
24074,889,695,3
24075,626,988,1
24076,642,921,5
24077,437,11,1
24078,405,1297,1
24079,491,258,4
24080,932,675,4
24081,393,941,4
24082,485,319,3
24083,342,408,5
24084,830,172,5
24085,660,117,3
24086,699,985,3
24087,494,199,4
24088,423,750,5
24089,833,591,2
24090,655,292,2
24091,653,1244,3
24092,798,944,4
24093,804,546,3
24094,823,56,5
24095,768,222,4
24096,847,609,2
24097,733,762,4
24098,590,285,5
24099,459,301,2
24100,884,116,4
24101,877,727,4
24102,566,496,5
24103,445,1010,1
24104,892,601,5
24105,800,751,4
24106,577,133,4
24107,251,79,5
24108,529,327,4
24109,659,164,4
24110,540,15,3
24111,327,498,4
24112,682,783,2
24113,864,742,4
24114,223,173,5
24115,631,288,3
24116,479,55,4
24117,541,88,3
24118,711,91,4
24119,711,258,4
24120,502,892,2
24121,113,303,5
24122,89,137,1
24123,472,831,5
24124,414,678,1
24125,308,429,4
24126,618,735,3
24127,622,722,3
24128,880,418,4
24129,829,733,2
24130,151,945,5
24131,354,319,3
24132,248,806,3
24133,733,1117,2
24134,919,19,4
24135,545,142,3
24136,319,751,3
24137,506,482,5
24138,416,966,5
24139,236,191,4
24140,489,346,5
24141,916,531,4
24142,639,451,4
24143,593,762,4
24144,425,24,2
24145,841,315,4
24146,777,245,5
24147,450,765,3
24148,307,28,3
24149,916,1206,2
24150,293,1119,1
24151,293,17,2
24152,496,99,3
24153,459,873,4
24154,888,869,4
24155,424,115,1
24156,435,203,4
24157,466,1607,5
24158,943,427,4
24159,212,423,4
24160,478,202,4
24161,468,9,5
24162,929,521,5
24163,505,69,3
24164,491,408,5
24165,532,722,3
24166,862,185,5
24167,899,177,3
24168,94,71,4
24169,838,257,5
24170,848,615,5
24171,186,1042,5
24172,705,226,3
24173,265,1197,2
24174,299,785,2
24175,193,310,4
24176,13,227,5
24177,306,111,4
24178,269,121,1
24179,435,369,1
24180,786,484,4
24181,829,129,4
24182,889,494,3
24183,236,435,4
24184,664,522,3
24185,377,194,5
24186,896,840,2
24187,469,530,5
24188,552,250,3
24189,222,826,2
24190,600,230,4
24191,880,156,4
24192,798,1102,4
24193,418,327,1
24194,503,823,2
24195,487,402,4
24196,764,220,3
24197,201,125,2
24198,74,245,3
24199,457,203,4
24200,535,64,5
24201,828,462,3
24202,496,559,5
24203,772,354,4
24204,226,408,5
24205,634,269,4
24206,339,235,3
24207,106,162,5
24208,378,591,4
24209,452,842,2
24210,272,208,4
24211,532,1046,4
24212,348,107,4
24213,554,87,4
24214,629,22,5
24215,99,1079,3
24216,560,515,3
24217,500,94,2
24218,630,472,3
24219,103,211,3
24220,404,683,4
24221,682,280,3
24222,417,550,3
24223,804,182,4
24224,788,531,4
24225,612,604,4
24226,864,393,3
24227,239,499,5
24228,223,926,4
24229,573,495,2
24230,405,77,1
24231,686,182,5
24232,878,642,3
24233,598,898,4
24234,451,259,4
24235,345,772,4
24236,896,436,3
24237,642,168,5
24238,458,1261,4
24239,938,125,3
24240,735,258,4
24241,497,577,2
24242,894,1592,4
24243,42,1048,1
24244,561,56,5
24245,524,132,4
24246,487,194,5
24247,655,1134,3
24248,879,304,4
24249,201,441,1
24250,662,286,3
24251,932,67,2
24252,722,13,2
24253,7,175,5
24254,655,707,3
24255,577,423,4
24256,897,143,5
24257,627,184,4
24258,664,174,5
24259,887,1063,1
24260,846,90,2
24261,152,66,5
24262,650,449,3
24263,500,274,3
24264,615,427,5
24265,790,231,4
24266,325,1149,4
24267,659,629,4
24268,592,688,1
24269,846,190,5
24270,721,988,3
24271,416,172,5
24272,405,513,1
24273,389,396,3
24274,691,772,5
24275,543,303,4
24276,566,196,4
24277,532,796,5
24278,181,106,2
24279,642,748,5
24280,368,559,3
24281,792,129,4
24282,497,141,3
24283,741,98,5
24284,923,1277,5
24285,393,90,2
24286,102,548,2
24287,506,693,4
24288,379,161,2
24289,930,275,4
24290,932,528,5
24291,863,359,3
24292,146,258,4
24293,730,875,2
24294,932,135,5
24295,388,219,5
24296,669,118,2
24297,542,508,3
24298,194,22,5
24299,655,135,4
24300,512,191,4
24301,164,866,5
24302,551,118,5
24303,505,423,4
24304,807,968,4
24305,655,61,3
24306,62,1,2
24307,643,11,4
24308,726,248,2
24309,484,755,4
24310,567,611,4
24311,749,185,4
24312,659,49,3
24313,834,475,5
24314,237,485,4
24315,592,252,3
24316,313,493,3
24317,883,331,3
24318,541,173,5
24319,156,77,2
24320,412,487,3
24321,631,877,2
24322,804,929,3
24323,566,512,4
24324,435,62,3
24325,398,182,4
24326,271,428,4
24327,38,105,3
24328,421,127,4
24329,426,1451,4
24330,883,694,5
24331,542,13,4
24332,407,188,3
24333,264,182,5
24334,660,1020,4
24335,303,127,5
24336,416,849,3
24337,236,50,3
24338,804,444,4
24339,222,101,4
24340,386,24,4
24341,886,156,4
24342,504,196,4
24343,711,707,5
24344,291,195,4
24345,503,580,3
24346,751,197,3
24347,667,137,3
24348,625,166,3
24349,627,597,3
24350,937,116,4
24351,761,358,3
24352,279,87,1
24353,62,605,3
24354,615,855,4
24355,800,294,3
24356,665,315,4
24357,766,375,2
24358,786,265,4
24359,145,407,2
24360,643,144,4
24361,568,525,3
24362,184,715,4
24363,115,673,3
24364,611,906,2
24365,758,117,4
24366,64,97,3
24367,908,181,3
24368,871,302,5
24369,595,273,3
24370,601,318,4
24371,412,939,4
24372,269,1006,3
24373,744,1,4
24374,645,195,4
24375,880,238,4
24376,22,174,5
24377,558,1068,2
24378,338,275,5
24379,504,215,4
24380,269,1427,2
24381,875,56,5
24382,287,222,5
24383,453,226,3
24384,538,173,3
24385,738,179,3
24386,130,7,5
24387,3,303,3
24388,222,929,1
24389,478,591,3
24390,709,405,3
24391,49,477,2
24392,592,1060,2
24393,268,185,3
24394,747,58,3
24395,254,22,4
24396,201,234,5
24397,862,69,5
24398,535,213,5
24399,918,199,3
24400,941,222,2
24401,773,1187,3
24402,865,240,2
24403,286,301,5
24404,860,890,2
24405,452,61,1
24406,749,833,2
24407,823,222,3
24408,92,68,3
24409,537,497,4
24410,846,357,4
24411,666,151,2
24412,318,898,4
24413,887,1239,3
24414,447,762,3
24415,267,64,5
24416,682,553,3
24417,456,135,4
24418,864,4,4
24419,239,132,5
24420,663,742,4
24421,872,820,3
24422,225,478,5
24423,686,317,5
24424,896,223,4
24425,896,271,1
24426,271,697,4
24427,453,550,3
24428,437,161,2
24429,832,25,2
24430,257,475,5
24431,77,250,3
24432,561,181,3
24433,524,319,4
24434,619,33,3
24435,508,218,2
24436,660,207,4
24437,533,71,4
24438,916,177,3
24439,58,153,5
24440,367,145,3
24441,898,309,5
24442,595,1010,4
24443,542,175,3
24444,880,239,4
24445,524,898,4
24446,747,735,4
24447,180,372,5
24448,346,156,4
24449,823,642,4
24450,807,313,5
24451,664,57,4
24452,332,159,5
24453,531,312,5
24454,717,260,1
24455,48,302,4
24456,11,434,4
24457,855,45,3
24458,548,619,3
24459,454,654,2
24460,788,218,4
24461,94,673,3
24462,705,588,3
24463,617,573,4
24464,405,662,1
24465,617,136,3
24466,559,1141,2
24467,543,656,4
24468,412,182,4
24469,603,173,4
24470,308,71,4
24471,271,125,3
24472,552,1277,3
24473,458,596,4
24474,702,307,2
24475,751,209,4
24476,137,121,5
24477,356,331,3
24478,670,1099,3
24479,123,64,3
24480,160,182,5
24481,841,678,4
24482,456,480,4
24483,932,211,5
24484,747,174,5
24485,660,771,2
24486,223,1291,3
24487,291,1248,4
24488,609,877,5
24489,593,288,4
24490,42,38,3
24491,5,434,5
24492,298,204,4
24493,796,323,2
24494,653,1478,2
24495,856,750,5
24496,524,116,4
24497,450,771,3
24498,344,258,3
24499,604,672,1
24500,588,29,3
24501,346,720,2
24502,293,503,4
24503,611,324,3
24504,648,218,3
24505,189,166,4
24506,445,28,4
24507,339,521,4
24508,32,111,3
24509,850,208,5
24510,87,715,3
24511,92,855,5
24512,454,842,2
24513,645,243,1
24514,403,760,1
24515,244,650,3
24516,463,936,2
24517,537,284,3
24518,304,879,3
24519,670,606,4
24520,13,841,1
24521,665,215,2
24522,472,21,3
24523,435,139,2
24524,308,699,4
24525,798,432,4
24526,618,576,4
24527,804,196,4
24528,880,546,3
24529,552,25,3
24530,559,194,3
24531,830,613,4
24532,504,934,4
24533,619,405,3
24534,859,1132,3
24535,896,1042,2
24536,416,748,4
24537,130,342,3
24538,715,746,5
24539,222,208,3
24540,524,554,4
24541,796,775,2
24542,501,7,4
24543,913,530,2
24544,62,134,4
24545,141,118,5
24546,805,223,5
24547,457,417,4
24548,330,177,4
24549,573,513,4
24550,406,122,3
24551,643,432,5
24552,847,926,1
24553,671,570,3
24554,339,69,4
24555,620,82,5
24556,16,480,5
24557,182,181,5
24558,145,268,4
24559,643,29,2
24560,537,514,4
24561,899,423,4
24562,295,790,3
24563,885,82,4
24564,334,712,3
24565,707,531,5
24566,373,366,4
24567,411,1197,4
24568,712,568,5
24569,889,980,4
24570,665,157,3
24571,798,801,3
24572,610,331,3
24573,59,179,5
24574,331,694,4
24575,405,419,4
24576,813,358,3
24577,617,637,3
24578,889,128,5
24579,757,271,3
24580,504,98,5
24581,361,319,5
24582,490,93,4
24583,474,582,5
24584,875,357,5
24585,773,1188,2
24586,499,425,3
24587,10,484,5
24588,305,160,4
24589,840,516,5
24590,291,405,4
24591,801,245,3
24592,551,1139,4
24593,478,1041,3
24594,774,418,2
24595,459,1115,3
24596,7,465,4
24597,279,684,3
24598,62,1028,1
24599,466,885,2
24600,747,268,5
24601,710,656,5
24602,721,1039,5
24603,760,66,2
24604,346,431,5
24605,219,855,5
24606,348,369,3
24607,521,833,2
24608,650,679,3
24609,758,652,5
24610,742,1,4
24611,615,269,4
24612,447,367,3
24613,929,484,3
24614,638,118,3
24615,548,346,4
24616,612,924,5
24617,843,7,5
24618,682,724,4
24619,864,159,4
24620,96,265,5
24621,751,237,2
24622,43,274,5
24623,751,481,4
24624,246,831,1
24625,450,430,4
24626,896,154,3
24627,589,259,5
24628,935,283,4
24629,24,69,5
24630,354,724,2
24631,280,239,3
24632,710,720,3
24633,561,802,1
24634,393,944,4
24635,506,523,5
24636,342,381,5
24637,508,109,3
24638,660,82,2
24639,720,333,4
24640,404,272,4
24641,932,496,4
24642,653,1207,1
24643,618,676,2
24644,450,210,3
24645,315,645,4
24646,551,216,5
24647,399,31,3
24648,293,568,4
24649,756,554,1
24650,392,199,5
24651,892,58,4
24652,855,166,4
24653,124,172,3
24654,569,9,5
24655,532,251,4
24656,682,808,4
24657,313,331,3
24658,640,209,5
24659,479,210,4
24660,471,99,2
24661,870,640,3
24662,179,302,4
24663,655,751,3
24664,345,218,3
24665,933,1017,3
